gene	control_1_rpkm	control_2_rpkm	control_3_rpkm	nq_1_rpkm	nq_2_rpkm	nq_2_rpkm	control_avg_rpkm	nq_avg_rpkm	total_avg_rpkm	logfc	pvalue	DEGs
stk16	1.634	1.622	1.844	1.605	1.337	1.326	1.7	1.42266666667	1.56133333333	-0.26	0.00100059140579053	Non DEG
mnx2b	0.986	0.971	1.006	0.683	0.763	0.743	0.987666666667	0.729666666667	0.858666666667	-0.44	0.000553033311620919	Non DEG
atic	4.609	4.92	5.318	4.962	5.596	5.301	4.949	5.28633333333	5.11766666667	0.1	0.0958254760340825	Non DEG
fn1b	8.291	8.357	8.079	6.488	7.156	6.655	8.24233333333	6.76633333333	7.50433333333	-0.29	6.09366009988974e-08	Non DEG
cpo	0.052	0.044	0.068	0.103	0.03	0.029	0.0546666666667	0.054	0.0543333333333	-0.02	0.95097173946852	Non DEG
nrp2a	0.154	0.147	0.133	0.14	0.147	0.14	0.144666666667	0.142333333333	0.1435	-0.02	0.775059014914945	Non DEG
pard3ba	0.283	0.277	0.277	0.271	0.263	0.257	0.279	0.263666666667	0.271333333333	-0.08	0.150307640971113	Non DEG
abcb6a	1.729	1.643	1.725	2.571	2.491	2.614	1.699	2.55866666667	2.12883333333	0.59	7.97375523169154e-22	Non DEG
cnppd1	2.708	2.906	2.56	2.438	2.541	2.318	2.72466666667	2.43233333333	2.5785	-0.16	0.031765444529639	Non DEG
prkag3a	0.103	0.089	0.093	0.072	0.135	0.079	0.095	0.0953333333333	0.0951666666667	0	0.986861242067564	Non DEG
retreg2	0.716	0.623	0.736	0.72	0.704	0.745	0.691666666667	0.723	0.707333333333	0.06	0.4463036301124	Non DEG
mdh1b	0.085	0.062	0.083	0.141	0.143	0.13	0.0766666666667	0.138	0.107333333333	0.83	0.00664823338996981	Non DEG
fastkd2	0.627	0.614	0.646	0.601	0.498	0.633	0.629	0.577333333333	0.603166666667	-0.13	0.147393740757959	Non DEG
gtf3c3	0.991	0.905	1.065	0.859	0.769	0.943	0.987	0.857	0.922	-0.2	0.00406314511661514	Non DEG
hecw2b	0.345	0.397	0.377	0.382	0.371	0.439	0.373	0.397333333333	0.385166666667	0.09	0.16944537641226	Non DEG
klf7a	0.798	0.819	0.756	0.601	0.583	0.581	0.791	0.588333333333	0.689666666667	-0.43	1.37045908102271e-12	Non DEG
si:ch211-93g23.2	0.015	0.023	0.044	0.119	0.067	0.072	0.0273333333333	0.086	0.0566666666667	1.62	0.000374913409503722	Slightly upregulated
ube2f	1.721	1.827	1.798	1.645	1.572	1.639	1.782	1.61866666667	1.70033333333	-0.14	0.0424707231783282	Non DEG
erbb4a	0.007	0.01	0.009	0.005	0.007	0.007	0.00866666666667	0.00633333333333	0.0075	-0.38	0.186045171449144	Non DEG
LOC108184914	0.033	0.032	0.039	0.049	0.049	0.046	0.0346666666667	0.048	0.0413333333333	0.46	0.00345866316105866	Non DEG
si:ch73-383l1.1	0.015	0.012	0.018	0.017	0.017	0.013	0.015	0.0156666666667	0.0153333333333	0.08	0.580132048735591	Non DEG
lancl1	47.092	48.527	47.386	43.576	44.193	42.897	47.6683333333	43.5553333333	45.6118333333	-0.13	0.0108891894845315	Non DEG
mylz3	0.239	0.348	0.32	0.331	0.36	0.264	0.302333333333	0.318333333333	0.310333333333	0.07	0.67740003353227	Non DEG
pcnp	7.216	6.413	6.295	6.912	6.713	6.894	6.64133333333	6.83966666667	6.7405	0.04	0.529936427149008	Non DEG
mxa	0.486	0.337	0.316	0.569	0.506	0.479	0.379666666667	0.518	0.448833333333	0.45	0.00201028655765576	Non DEG
mxb	0.057	0.059	0.047	0.086	0.107	0.097	0.0543333333333	0.0966666666667	0.0755	0.82	6.14023358140689e-06	Non DEG
efnb2b	4.844	5.067	5.199	4.22	4.273	4.357	5.03666666667	4.28333333333	4.66	-0.23	2.85289449913222e-05	Non DEG
arglu1b	4.613	4.744	5.067	4.133	4.759	4.677	4.808	4.523	4.6655	-0.09	0.147782143283493	Non DEG
en1b	0.208	0.336	0.269	0.285	0.182	0.177	0.271	0.214666666667	0.242833333333	-0.34	0.195553276416361	Non DEG
radil	0.034	0.038	0.027	0.049	0.053	0.062	0.033	0.0546666666667	0.0438333333333	0.73	0.000101257235670374	Non DEG
si:dkey-79f11.10	0.083	0.096	0.081	0.114	0.096	0.114	0.0866666666667	0.108	0.0973333333333	0.31	0.00214955809179599	Non DEG
si:dkey-79f11.9	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkey-79f11.7	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkey-79f11.5	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkeyp-9d4.2	0.047	0.105	0.114	0.173	0.138	0.134	0.0886666666667	0.148333333333	0.1185	0.73	0.0489184908021573	Non DEG
si:dkeyp-9d4.3	0.036	0.044	0.034	0.059	0.057	0.057	0.038	0.0576666666667	0.0478333333333	0.61	1.53756275053311e-05	Non DEG
si:dkeyp-9d4.5	0.135	0.151	0.173	0.131	0.148	0.162	0.153	0.147	0.15	-0.06	0.579648221533691	Non DEG
LOC101882918	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
grapb	0.069	0.05	0.058	0.046	0.035	0.037	0.059	0.0393333333333	0.0491666666667	-0.59	0.0100583196973994	Non DEG
cacna1hb	0.022	0.021	0.023	0.016	0.018	0.02	0.022	0.018	0.02	-0.28	0.134138677787339	Non DEG
syngr3b	0.026	0.011	0.018	0.019	0.033	0.04	0.0183333333333	0.0306666666667	0.0245	0.7	0.12468732530179	Non DEG
myo15ab	0.054	0.058	0.062	0.058	0.064	0.07	0.058	0.064	0.061	0.14	0.280204249307409	Non DEG
alkbh5	1.529	1.744	1.908	1.793	1.94	1.724	1.727	1.819	1.773	0.08	0.374463471111877	Non DEG
mief2	1.405	1.286	1.451	1.332	1.391	1.343	1.38066666667	1.35533333333	1.368	-0.03	0.767549983745003	Non DEG
smcr8b	4.243	4.919	4.922	5.461	5.028	4.984	4.69466666667	5.15766666667	4.92616666667	0.14	0.0519190743766655	Non DEG
zgc:112980	4.712	5.066	5.108	5.334	4.991	5.415	4.962	5.24666666667	5.10433333333	0.08	0.168057106261695	Non DEG
ptcd1	2.016	2.181	1.783	2.036	2.005	1.904	1.99333333333	1.98166666667	1.9875	-0.01	0.918767665689219	Non DEG
hel_dr1	0.468	0.464	0.354	0.932	0.756	0.736	0.428666666667	0.808	0.618333333333	0.91	4.48223406775196e-17	Non DEG
si:ch211-160d14.6	0	0.004	0.009	0.009	0.004	0.004	0.00433333333333	0.00566666666667	0.005	0.36	0.719315508487197	Non DEG
zgc:153118	0	0	0	0.068	0	0	0.0	0.0226666666667	0.0113333333333	2.65	0.0976856725225118	Non DEG
LOC101883376	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
LOC103911895	0	0.024	0.023	0	0	0	0.0156666666667	0.0	0.00783333333333	-2.67	0.0942638280704282	Non DEG
fbxl18	0.918	0.739	0.754	0.717	0.636	0.848	0.803666666667	0.733666666667	0.768666666667	-0.13	0.246673392380856	Non DEG
actb1	242.263	246.432	241.655	286.57	279.606	277.096	243.45	281.090666667	262.270333333	0.21	5.21460978480707e-05	Non DEG
fscn1b	0.031	0	0	0.031	0.015	0	0.0103333333333	0.0153333333333	0.0128333333333	0.52	0.541084953885522	Non DEG
abcg2b	0.01	0	0.016	0.018	0.01	0.011	0.00866666666667	0.013	0.0108333333333	0.55	0.334962549963766	Non DEG
zgc:77849	6.91	7.6	7.178	7.666	7.822	8.061	7.22933333333	7.84966666667	7.5395	0.12	0.0462755575314427	Non DEG
grin2ab	0.026	0.021	0.022	0.023	0.02	0.027	0.023	0.0233333333333	0.0231666666667	0.01	0.939293088187085	Non DEG
socs1b	0.018	0	0.026	0.035	0.044	0.017	0.0146666666667	0.032	0.0233333333333	1.06	0.137069716067589	Non DEG
tlr2	0.031	0	0.03	0.015	0.029	0	0.0203333333333	0.0146666666667	0.0175	-0.41	0.57486101621093	Non DEG
prkcba	0.156	0.159	0.166	0.141	0.168	0.139	0.160333333333	0.149333333333	0.154833333333	-0.1	0.269929671775791	Non DEG
cacng3a	0.037	0.023	0.024	0.014	0.005	0.019	0.028	0.0126666666667	0.0203333333333	-1.15	0.043918346270903	Non DEG
si:ch211-14k19.8	0.006	0.003	0	0.006	0.013	0.003	0.003	0.00733333333333	0.00516666666667	1.11	0.208136212352938	Non DEG
ndufab1a	1.673	1.263	1.944	1.159	0.968	1.062	1.62666666667	1.063	1.34483333333	-0.62	1.47988618020166e-08	Non DEG
palb2	1.129	1.152	1.251	1.458	1.457	1.122	1.17733333333	1.34566666667	1.2615	0.19	0.0371909032172103	Non DEG
zgc:152698	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
plk1	17.184	18.103	17.449	16.757	16.529	16.746	17.5786666667	16.6773333333	17.128	-0.08	0.162196080021903	Non DEG
ern2	0.023	0.03	0.007	0.024	0.045	0.028	0.02	0.0323333333333	0.0261666666667	0.69	0.0255365378946849	Non DEG
chtf18	0.897	0.92	0.935	0.883	0.982	0.935	0.917333333333	0.933333333333	0.925333333333	0.02	0.728706912938037	Non DEG
gng13a	1.056	0.777	0.302	0.496	0.867	0.644	0.711666666667	0.669	0.690333333333	-0.09	0.777928653579749	Non DEG
si:dkeyp-57d7.4	0.612	0.892	0.649	0.769	0.439	0.693	0.717666666667	0.633666666667	0.675666666667	-0.17	0.602605888728617	Non DEG
zgc:136472	0.281	0.28	0.273	0.334	0.266	0.321	0.278	0.307	0.2925	0.14	0.276496468033494	Non DEG
ubn1	0.084	0.059	0.048	0.077	0.104	0.077	0.0636666666667	0.086	0.0748333333333	0.43	0.192816860391482	Non DEG
uncx4.1	0.56	0.421	0.408	0.438	0.495	0.367	0.463	0.433333333333	0.448166666667	-0.1	0.626228243696014	Non DEG
micall2b	0.496	0.469	0.507	0.516	0.413	0.478	0.490666666667	0.469	0.479833333333	-0.06	0.467712730710066	Non DEG
si:ch73-12o23.1	2.523	2.327	2.338	2.492	2.677	2.399	2.396	2.52266666667	2.45933333333	0.07	0.217217952760881	Non DEG
elfn1b	0.069	0.074	0.069	0.089	0.096	0.099	0.0706666666667	0.0946666666667	0.0826666666667	0.42	1.8953610778109e-06	Non DEG
ugt5b4	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
ugt5b3	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
ugt5b2	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
ugt5b1	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
mad1l1	0.762	0.819	0.781	0.688	0.675	0.696	0.787333333333	0.686333333333	0.736833333333	-0.2	0.000592767235044692	Non DEG
pmm2	1.224	1.28	1.152	1.42	1.23	0.973	1.21866666667	1.20766666667	1.21316666667	-0.01	0.890583226523191	Non DEG
zgc:56409	0.975	0.795	0.732	0.955	0.71	0.923	0.834	0.862666666667	0.848333333333	0.05	0.596867624999529	Non DEG
rgs11	0.029	0.029	0.016	0.053	0.046	0.055	0.0246666666667	0.0513333333333	0.038	1.05	5.54256086733703e-05	Slightly upregulated
tmem8a	0.522	0.434	0.474	0.56	0.494	0.541	0.476666666667	0.531666666667	0.504166666667	0.16	0.0753500298419307	Non DEG
LOC110439781	0	0	0	0	0.005	0	0.0	0.00166666666667	0.000833333333333	1.87	0.241509130478545	Non DEG
pdia2	0	0	0	0.009	0	0	0.0	0.003	0.0015	2.65	0.0976856725225118	Non DEG
si:dkeyp-75b4.8	0.006	0.012	0.009	0.012	0.009	0.012	0.009	0.011	0.01	0.26	0.678565435185317	Non DEG
si:dkeyp-75b4.9	0	0	0	0	0	0.031	0.0	0.0103333333333	0.00516666666667	3.16	0.0425426851122153	Non DEG
si:dkeyp-75b4.10	0.026	0.059	0.034	0.008	0.041	0.042	0.0396666666667	0.0303333333333	0.035	-0.36	0.526096097202529	Non DEG
trim2b	1.288	1.399	1.242	1.072	1.047	1.106	1.30966666667	1.075	1.19233333333	-0.29	1.57793814979017e-05	Non DEG
rnf175	0.109	0.082	0.143	0.137	0.085	0.051	0.111333333333	0.091	0.101166666667	-0.28	0.250853168016175	Non DEG
fgb	0.11	0.05	0.037	0.042	0.025	0.121	0.0656666666667	0.0626666666667	0.0641666666667	-0.07	0.856423140409642	Non DEG
LOC100536670	0	0	0	0	0.061	0	0.0	0.0203333333333	0.0101666666667	2.65	0.0976858137400051	Non DEG
fga	0.115	0.103	0.069	0.035	0.068	0.136	0.0956666666667	0.0796666666667	0.0876666666667	-0.25	0.490259410325386	Non DEG
lratb	0.904	0.938	1.004	0.966	0.938	0.944	0.948666666667	0.949333333333	0.949	0	0.995177762610853	Non DEG
lratb.2	0.6	0.609	0.573	0.584	0.456	0.634	0.594	0.558	0.576	-0.09	0.544668511034672	Non DEG
rbm46	0.027	0.042	0.033	0.036	0.032	0.032	0.034	0.0333333333333	0.0336666666667	-0.02	0.962475925882251	Non DEG
npy2rl	0.003	0	0.012	0	0.012	0.003	0.005	0.005	0.005	-0.02	0.982015790632582	Non DEG
eif3f	9.007	8.997	8.153	9.1	9.02	8.069	8.719	8.72966666667	8.72433333333	0	0.978143493335726	Non DEG
zgc:77880	0.618	0.67	0.693	0.545	0.578	0.592	0.660333333333	0.571666666667	0.616	-0.21	0.0742915547857204	Non DEG
tmem55bb	0.843	0.949	0.85	1.132	1.1	0.933	0.880666666667	1.055	0.967833333333	0.26	0.0190797894380246	Non DEG
LOC557811	0.036	0.029	0.045	0.029	0.043	0.039	0.0366666666667	0.037	0.0368333333333	0.01	0.97110232042527	Non DEG
dachb	0.037	0.038	0.042	0.028	0.043	0.04	0.039	0.037	0.038	-0.08	0.626207613465696	Non DEG
tnrc5	0.21	0.19	0.24	0.114	0.169	0.143	0.213333333333	0.142	0.177666666667	-0.58	0.0022387464741703	Non DEG
trpc5a	0.018	0.024	0.02	0.02	0.021	0.024	0.0206666666667	0.0216666666667	0.0211666666667	0.07	0.674026437647728	Non DEG
zgc:174945	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkey-31e10.1	0.168	0.096	0.168	0.049	0.066	0.127	0.144	0.0806666666667	0.112333333333	-0.83	0.0194450848231461	Non DEG
si:dkey-31e10.5	0.089	0.089	0.115	0.121	0.099	0.136	0.0976666666667	0.118666666667	0.108166666667	0.28	0.466730959332825	Non DEG
si:dkey-31e10.6p	0.082	0.118	0.122	0.169	0.22	0.187	0.107333333333	0.192	0.149666666667	0.84	4.6540683114236e-05	Non DEG
zgc:103678	0.567	0.614	0.637	0.69	0.776	0.75	0.606	0.738666666667	0.672333333333	0.28	0.00473749489722208	Non DEG
atp1b1b	0.02	0.018	0.007	0.042	0.05	0.029	0.015	0.0403333333333	0.0276666666667	1.41	0.000165584542127136	Slightly upregulated
LOC100334711	0.02	0.022	0.022	0.006	0.013	0.008	0.0213333333333	0.009	0.0151666666667	-1.19	0.0201723960689326	Non DEG
si:ch73-222h13.1	0.013	0.01	0.004	0.008	0.016	0.014	0.009	0.0126666666667	0.0108333333333	0.51	0.308394942770557	Non DEG
crfb15	0.275	0.287	0.188	0.173	0.196	0.166	0.25	0.178333333333	0.214166666667	-0.49	0.00332052000792998	Non DEG
dmd	0.644	0.658	0.664	0.568	0.58	0.592	0.655333333333	0.58	0.617666666667	-0.18	0.00124295172398281	Non DEG
casc5	3.426	3.461	3.482	3.505	3.325	3.711	3.45633333333	3.51366666667	3.485	0.02	0.677432552510075	Non DEG
knstrn	1.193	1.304	1.265	1.226	1.022	1.111	1.254	1.11966666667	1.18683333333	-0.16	0.0707539502617626	Non DEG
sdk1b	0.053	0.051	0.057	0.05	0.051	0.047	0.0536666666667	0.0493333333333	0.0515	-0.14	0.0670080236877314	Non DEG
si:dkey-26i13.7	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkey-26i13.6	0.025	0.013	0.013	0.025	0	0.013	0.017	0.0126666666667	0.0148333333333	-0.39	0.691333490778028	Non DEG
si:dkey-26i13.5	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:dkey-26i13.3	0	0	0	0	0	0.029	0.0	0.00966666666667	0.00483333333333	1.87	0.241509169653267	Non DEG
si:dkey-26i13.4	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
LOC797518	0.089	0.165	0.105	0.195	0.176	0.266	0.119666666667	0.212333333333	0.166	0.82	6.48388793708967e-05	Non DEG
brat1	0.469	0.461	0.486	0.667	0.682	0.666	0.472	0.671666666667	0.571833333333	0.51	5.28402460287258e-08	Non DEG
